# HIP	RA degrees (ICRS)	Dec degrees	V magnitude
4914	15.7606	-4.8366	5.4
4962	15.9042	61.0748	5.92
4998	16.0100	52.5022	5.99
5021	16.0810	61.5802	5.83
5081	16.2723	14.9461	5.64
5131	16.4206	21.4732	5.33
5132	16.4238	21.4654	5.55
5164	16.5215	-9.8394	5.58
5165	16.5210	-46.7184	3.32
5268	16.8278	-61.7753	5.36
5296	16.9425	-9.7856	5.71
5300	16.9494	-41.4869	5.21
5310	16.9882	20.7391	5.56
5317	17.0035	43.9421	5.04
5336	17.0683	54.9203	5.17
5346	17.0925	5.6498	5.51
5348	17.0962	-55.2458	3.94
5361	17.1394	58.2634	5.77
5364	17.1475	-10.1823	3.46
5372	17.1870	86.2571	4.24
5434	17.3755	47.2418	4.26
5447	17.4330	35.6206	2.07
5454	17.4550	19.6584	5.57
5493	17.5781	42.0815	5.67
5494	17.5810	25.4578	5.81
5510	17.6398	2.4457	5.97
5518	17.6638	68.7786	5.32
5542	17.7757	55.1499	4.34
5544	17.7782	31.4247	5.15
5550	17.7928	37.7241	5.8
5566	17.8565	64.2027	5.56
5571	17.8634	21.0347	4.66
5586	17.9152	30.0896	4.51
5589	17.9225	65.0189	5.57
5594	17.9313	-2.2511	5.93
5626	18.0701	79.6740	5.6
5661	18.1893	-37.8565	5.95
5737	18.4329	7.5754	5.21
5742	18.4373	24.5837	4.67
5778	18.5318	16.1335	5.97
5799	18.6002	-7.9228	5.14
5833	18.7049	-0.9738	5.7
5862	18.7963	-45.5317	4.97
5896	18.9423	-68.8759	4.25
5926	19.0496	71.7438	5.87
5951	19.1512	-2.5004	5.42
6061	19.4498	3.6145	5.13
6193	19.8666	27.2641	4.74
6226	19.9512	-0.5090	5.87
6242	20.0205	58.2316	4.95
6315	20.2807	28.7382	5.23
6411	20.5851	45.5288	4.87
6492	20.8540	20.4690	5.97
6502	20.8790	-30.9456	5.84
6514	20.9192	37.7149	5.6
6537	21.0059	-8.1833	3.6
6564	21.0854	-6.9147	5.92
6592	21.1699	-41.4925	5.42
6631	21.2721	-64.3695	5.92
6670	21.4051	-14.5988	4.9
6686	21.4540	60.2353	2.66
6692	21.4834	68.1300	4.72
6706	21.5636	19.1723	5.35
6711	21.5779	43.4577	5.98
6732	21.6737	19.2404	5.5
6748	21.7149	-13.0565	5.51
6813	21.9141	45.4067	4.83
6867	22.0914	-43.3182	3.41
6960	22.4006	-21.6293	5.11
6999	22.5254	47.0073	5.27
7007	22.5463	6.1438	4.84
7016	22.5954	-26.2079	5.92
7078	22.8073	70.2646	5.82
7083	22.8129	-49.0727	3.93
7097	22.8709	15.3458	3.62
7118	22.9302	-30.2831	5.79
7213	23.2336	-36.8652	5.49
7251	23.3571	58.3273	5.69
7276	23.4285	-7.0253	5.75
7294	23.4828	59.2320	4.68
7321	23.5692	37.2371	5.9
7345	23.6574	-15.6764	5.62
7359	23.7044	18.4605	5.9
7447	23.9782	17.4338	5.95
7450	23.9957	-15.4002	5.41
7463	24.0355	-29.9073	5.69
7513	24.1993	41.4055	4.1
7535	24.2747	12.1415	5.54
7568	24.3667	-84.7696	5.66
7588	24.4285	-57.2368	0.45
7601	24.4815	-82.9750	5.88
7607	24.4982	48.6282	3.59
7617	24.5315	57.9776	5.55
7643	24.6145	-36.5283	5.94
7650	24.6288	73.0400	5.28
7679	24.7158	-21.2754	5.58
7719	24.8375	44.3862	5.01
7740	24.9201	16.4059	5.98
7751	24.9481	-56.1964	5.76
7818	25.1451	40.5770	4.96
7825	25.1652	43.2977	5.63
7884	25.3579	5.4876	4.45
7906	25.4135	30.0471	5.97
7916	25.4368	-11.3247	5.75
7918	25.4464	42.6134	4.96
7921	25.4499	-60.7893	5.7
7941	25.5125	-36.8323	5.7
7943	25.5145	35.2457	5.63
7955	25.5358	-32.3270	5.25
7965	25.5855	68.0430	5.57
7978	25.6221	-53.7408	5.52
7981	25.6240	20.2685	5.24
7999	25.6813	-3.6902	4.98
8016	25.7328	70.6225	5.18
8046	25.8323	60.5513	5.78
8068	25.9152	50.6887	4.01
8102	26.0170	-15.9375	3.49
8198	26.3485	9.1577	4.26
8209	26.4115	-25.0526	5.29
8230	26.4969	-5.7333	5.37
8240	26.5249	-50.8163	5.49
8241	26.5261	-53.5220	5.04
8362	26.9368	63.8525	5.63
8387	27.0456	16.9556	5.86
8404	27.1084	3.6854	5.91
8423	27.1622	37.9529	5.94
8433	27.1732	32.6902	5.78
8497	27.3963	-10.6864	4.66
8544	27.5357	22.2753	5.83
8588	27.7166	11.0434	5.92
8593	27.7268	-50.2061	5.94
8598	27.7380	51.9334	5.96
8645	27.8651	-10.3350	3.74
8704	27.9972	55.1474	5.53
8714	28.0390	50.7928	5.7
8778	28.2171	-16.9292	5.78
8796	28.2704	29.5788	3.42
8814	28.3223	40.7298	5.42
8832	28.3826	19.2939	3.88
8833	28.3890	3.1875	4.61
8837	28.4114	-46.3027	4.39
8882	28.5918	-42.4969	5.12
8886	28.5989	63.6701	3.35
8903	28.6600	20.8080	2.64
8928	28.7339	-67.6473	4.68
8993	28.9627	23.5773	5.76
9001	28.9770	37.2778	5.89
9007	28.9895	-51.6089	3.69
9009	29.0001	68.6852	4.97
9021	29.0390	37.2518	5.69
9061	29.1675	-22.5268	4.92
9095	29.2920	-47.3853	4.82
9110	29.3377	17.8175	5.09
9132	29.4323	27.8044	5.84
9153	29.4822	23.5961	4.79
9222	29.6396	49.2044	5.7
9236	29.6925	-61.5699	2.86
9307	29.8987	21.0586	5.89
9312	29.9085	64.6216	5.29
9313	29.9117	-42.0305	5.57
9326	29.9425	-20.8245	5.43
9347	30.0013	-21.0778	3.99
9353	30.0382	3.0970	5.89
9372	30.1118	-8.5239	5.43
9440	30.3113	-30.0018	5.34
9459	30.4266	-44.7135	5.15
9480	30.4894	70.9070	4.49
9487	30.5118	2.7638	3.82
9505	30.5755	54.4875	4.99
9533	30.6462	13.4767	5.97
9564	30.7187	64.9015	6
9570	30.7415	33.2841	5.5
9572	30.7440	-15.3059	5.87
9573	30.7508	64.3900	5.59
9589	30.7985	0.1285	5.42
9598	30.8588	72.4213	3.95
9621	30.9139	25.9355	5.64
9622	30.9187	-4.1035	5.61
9631	30.9507	-0.3403	5.96
9640	30.9748	42.3297	2.1
9677	31.1227	-29.2968	4.68
9727	31.2809	77.2813	5.27
9763	31.3815	76.1151	5.22
9836	31.6414	22.6483	5.03
